YYYY MM DD       X              Y                Z          mX       mY     mZ
2019 12 11 3890987.7899759 1300010.5138864 4867786.4023638 0.00040 0.00021 0.00046
2019 12 12 3890987.7904472 1300010.5121775 4867786.4002615 0.00041 0.00021 0.00049
2019 12 13 3890987.7900734 1300010.5115476 4867786.3977878 0.00038 0.00019 0.00046
2019 12 14 3890987.7930756 1300010.5095390 4867786.3989359 0.00039 0.00020 0.00046
2019 12 15 3890987.7885699 1300010.5099131 4867786.3926605 0.00040 0.00020 0.00049
2019 12 17 3890987.7864867 1300010.5093753 4867786.3912819 0.00040 0.00020 0.00046
2019 12 18 3890987.7733352 1300010.5035625 4867786.3815901 0.00039 0.00019 0.00046
2019 12 19 3890987.7844508 1300010.5045684 4867786.3924846 0.00041 0.00022 0.00048
2019 12 21 3890987.7873424 1300010.5083399 4867786.3873460 0.00036 0.00018 0.00044
2019 12 22 3890987.7882379 1300010.5076996 4867786.3869831 0.00041 0.00024 0.00050
2019 12 23 3890987.7872340 1300010.5054909 4867786.3838074 0.00039 0.00019 0.00047
2019 12 24 3890987.7867626 1300010.5055903 4867786.3817786 0.00040 0.00021 0.00046
2019 12 25 3890987.7877286 1300010.5048533 4867786.3826375 0.00038 0.00020 0.00045
2019 12 26 3890987.7836508 1300010.5051445 4867786.3790491 0.00039 0.00019 0.00045
2019 12 27 3890987.7853314 1300010.5050307 4867786.3779953 0.00038 0.00020 0.00045
2019 12 28 3890987.7822565 1300010.5049207 4867786.3771582 0.00038 0.00019 0.00047
2019 12 31 3890987.7821789 1300010.5028545 4867786.3732649 0.00041 0.00021 0.00049
2020 1 1 3890987.7838851 1300010.5018916 4867786.3721984 0.00041 0.00020 0.00050
2020 1 2 3890987.7851449 1300010.5043903 4867786.3735394 0.00051 0.00026 0.00061
2020 1 3 3890987.7787683 1300010.5005841 4867786.3702366 0.00042 0.00021 0.00050
2020 1 4 3890987.7821329 1300010.5021200 4867786.3712262 0.00039 0.00019 0.00047
2020 1 5 3890987.7797435 1300010.5005204 4867786.3705631 0.00042 0.00021 0.00051
2020 1 6 3890987.7802099 1300010.4962767 4867786.3717418 0.00044 0.00022 0.00052
2020 1 7 3890987.7814024 1300010.4995585 4867786.3713656 0.00041 0.00021 0.00051
2020 1 8 3890987.7827286 1300010.5003225 4867786.3709763 0.00044 0.00022 0.00053
2020 1 9 3890987.7806225 1300010.5014770 4867786.3667378 0.00039 0.00020 0.00047
2020 1 10 3890987.7829813 1300010.5007793 4867786.3706366 0.00039 0.00020 0.00045
2020 1 11 3890987.7783286 1300010.4983602 4867786.3652501 0.00037 0.00019 0.00046
